Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
1120,548,H,GeorgiaState,27,31,58,0,1,-130,2.5
1120,549,V,NCState,43,23,66,NL,NL,104,NL
1120,550,H,Akron,21,24,45,0,1.5,-115,5
1120,551,V,CentralFlorida,41,43,84,NL,NL,210,NL
1120,552,H,Auburn,24,50,74,4.5,6,-250,7
1120,553,V,AustinPeay,24,39,63,NL,NL,165,NL
1120,554,H,IUPUI,34,43,77,2.5,4.5,-190,0
1120,555,N,GeorgiaTech,27,43,70,5,6,-260,2
1120,556,N,GeorgeMason,19,43,62,135,133.5,220,69.5
1120,557,N,Dayton,29,36,65,142,144.5,190,77
1120,558,N,Villanova,37,34,71,6,5,-230,1
1120,559,N,IndianaU,34,33,67,4,3,-150,0.5
1120,560,N,BostonU,29,42,71,NL,NL,130,NL
1120,561,N,Mississippi,32,54,86,1,158.5,102,80
1120,562,N,KansasState,30,44,74,156.5,1.5,-113,0
1120,563,N,Tulane,24,39,63,NL,NL,280,NL
1120,564,N,PennState,25,35,60,6.5,7.5,-340,4
1120,565,N,MiamiFlorida,27,40,67,13,14,-1175,8
1120,566,N,NCWilmington,26,34,60,NL,NL,840,NL
1120,567,N,LaSalle,46,38,84,1,1.5,-130,NL
